# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-B" "-C" "-F" "GFF" "-t" "CDS" "-g" "locus_tag" "-a" "/home/vinay_bioinformatic/project/refrence/GCF_000005845.2_ASM584v2_genomic.gff" "-o" "SRR22578514_gene_counts.txt" "SRR22578514.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22578514.sorted.bam
b0001	NC_000913.3	190	255	+	66	119
b0002	NC_000913.3	337	2799	+	2463	6331
b0003	NC_000913.3	2801	3733	+	933	3524
b0004	NC_000913.3	3734	5020	+	1287	3966
b0005	NC_000913.3	5234	5530	+	297	158
b0006	NC_000913.3	5683	6459	-	777	316
b0007	NC_000913.3	6529	7959	-	1431	432
b0008	NC_000913.3	8238	9191	+	954	20836
b0009	NC_000913.3	9306	9893	+	588	1116
b0010	NC_000913.3	9928	10494	-	567	443
b0011	NC_000913.3	10643	11356	-	714	19
b0012	NC_000913.3	10830	11315	+	486	0
b0013	NC_000913.3	11382	11786	-	405	17
b0014	NC_000913.3	12163	14079	+	1917	62463
b0015	NC_000913.3	14168	15298	+	1131	6987
b0016	NC_000913.3	15445	16557	+	1113	378
b0018	NC_000913.3	16751	16960	-	210	22
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	15181
b0020	NC_000913.3	18715	19620	+	906	2138
b0021	NC_000913.3	19811	20314	-	504	52
b0022	NC_000913.3	20233	20508	-	276	10
b0023	NC_000913.3	20815	21078	-	264	2728
b0024	NC_000913.3	21181	21399	+	219	156
b0025	NC_000913.3	21407	22348	+	942	2402
b0026	NC_000913.3	22391	25207	+	2817	12207
b0027	NC_000913.3	25207	25701	+	495	1830
b0028	NC_000913.3	25826	26275	+	450	1160
b0029	NC_000913.3	26277	27227	+	951	1936
b0030	NC_000913.3	27293	28207	+	915	457
b0031	NC_000913.3	28374	29195	+	822	1051
b0032	NC_000913.3	29651	30799	+	1149	389
b0033	NC_000913.3	30817	34038	+	3222	4123
